import time: self [us] | cumulative | imported package
import time:      1101 |       9081 |         fastapi.dependencies.utils
import time:       231 |        231 |             colorsys
import time:       590 |        820 |           pydantic.color
import time:       520 |       1340 |         fastapi.encoders
import time:       361 |        361 |           starlette._exception_handler
import time:       356 |        356 |           starlette.convertors
import time:       198 |        198 |           starlette.middleware
import time:       961 |       1874 |         starlette.routing
import time:      3629 |     269097 |       fastapi.routing
import time:       202 |        202 |         fastapi.websockets
import time:       215 |        416 |       fastapi.exception_handlers
import time:       136 |        136 |         fastapi.middleware
import time:       233 |        368 |       fastapi.middleware.asyncexitstack
import time:       345 |        345 |       fastapi.openapi.docs
import time:       829 |        829 |         http.client
import time:        59 |         59 |           ujson
import time:        43 |         43 |           orjson
import time:       216 |        318 |         fastapi.responses
import time:       460 |       1607 |       fastapi.openapi.utils
import time:       364 |        364 |         starlette.middleware.base
import time:       853 |        853 |             html.entities
import time:       348 |       1200 |           html
import time:       226 |       1425 |         starlette.middleware.errors
import time:       388 |        388 |         starlette.middleware.exceptions
import time:       484 |       2660 |       starlette.applications
import time:      1269 |     276172 |     fastapi.applications
import time:       174 |        174 |     fastapi.requests
import time:       355 |     277644 |   fastapi
import time:       462 |        462 |       gzip
import time:       273 |        735 |     starlette.middleware.gzip
import time:       137 |        872 |   fastapi.middleware.gzip
import time:       305 |        305 |     starlette.middleware.cors
import time:       195 |        500 |   fastapi.middleware.cors
import time:       246 |        246 |     starlette.staticfiles
import time:       258 |        504 |   fastapi.staticfiles
import time:       655 |        655 |         sqlalchemy.util.preloaded
import time:       255 |        255 |             sqlalchemy.cyextension
import time:      1371 |       1371 |             sqlalchemy.cyextension.collections
import time:      1116 |       1116 |             sqlalchemy.cyextension.immutabledict
import time:      1037 |       1037 |             sqlalchemy.cyextension.processors
import time:       947 |        947 |             sqlalchemy.cyextension.resultproxy
import time:      2568 |       2568 |                   platform
import time:       967 |       3534 |                 sqlalchemy.util.compat
import time:      1042 |       4576 |               sqlalchemy.exc
import time:      1647 |       6222 |             sqlalchemy.cyextension.util
import time:       488 |      11433 |           sqlalchemy.util._has_cy
import time:       862 |        862 |           sqlalchemy.util.typing
import time:      1088 |      13382 |         sqlalchemy.util._collections
import time:        77 |         77 |           greenlet
import time:       405 |        481 |         sqlalchemy.util.concurrency
import time:      1620 |       1620 |           sqlalchemy.util.langhelpers
import time:       518 |       2138 |         sqlalchemy.util.deprecations
import time:      1169 |      17823 |       sqlalchemy.util
import time:      1017 |       1017 |                         sqlalchemy.event.registry
import time:       443 |       1460 |                       sqlalchemy.event.legacy
import time:       997 |       2456 |                     sqlalchemy.event.attr
import time:      1097 |       3553 |                   sqlalchemy.event.base
import time:       650 |       4202 |                 sqlalchemy.event.api
import time:       339 |       4540 |               sqlalchemy.event
import time:       596 |        596 |                     sqlalchemy.log
import time:      1679 |       2275 |                   sqlalchemy.pool.base
import time:      1051 |       3325 |                 sqlalchemy.pool.events
import time:       467 |        467 |                   sqlalchemy.util.queue
import time:       635 |       1102 |                 sqlalchemy.pool.impl
